Train_Size,RMSE_UP,RMSE_AVG,RMSE_median,RMSE_OP
25,41.87108524129259,32.481919641231315,39.289787396767814,53.00752719491209
26,43.74104290076331,26.807057805869366,28.296507379840712,64.2063689450714
33,41.94011472424494,28.319324713466372,35.02342100092883,52.24372826330416
35,42.43880367944668,29.53190466726856,34.03920553541308,59.97386365256883
45,38.74605052518226,25.404604682774703,32.1219612552676,49.20553530949909
49,46.595248727770446,26.2984465652396,29.659868393886736,55.1918658683845
52,39.87388793787136,13.152249407050729,17.161258101244332,47.08175929621194
57,41.241476566695965,21.981743537317993,30.37559095861859,39.47121492401798
59,55.517709506831125,26.806481387944498,34.4563056024352,48.3452771247603
66,44.821476873835024,34.753486354081076,45.97744022389466,55.323325957467965
73,65.1987524303106,18.614101821466456,18.559958972750284,71.6883022334818
79,38.423841420451545,17.790333248828063,29.95621785824487,46.00912617705555
82,36.959361570948126,26.73820943115402,23.897104945552016,59.02800275036244
