Train_Size,RMSE_UP,RMSE_AVG,RMSE_median,RMSE_OP
27,11.525583447961298,31.35965899761047,31.20364706862632,70.26182429545551
28,12.329211607947332,28.243380253925775,34.74856808773128,53.92601194190573
38,19.996159136339067,26.460422225305138,30.89824234621701,44.606805170261154
43,13.60072401659427,26.153279635136954,30.250091951492557,55.892286286456546
43,22.78501534026762,33.864196771222566,38.26823802475608,51.041871539500995
48,20.9567384659183,22.407800284394064,24.50292281109321,54.2660032038943
48,34.97044551864308,50.094897282255566,57.78492375257188,55.42423174491259
57,27.733281761999724,32.78966934414279,39.86064771168966,39.74629375918198
59,15.969179265398044,23.830596409662142,25.2816689317603,53.933280904547786
72,13.680148719752323,18.343186024572702,27.734670504669424,30.91981660318552
72,55.296696025006796,64.3637060045546,68.35164751422494,56.54759456300033
75,15.721841393076609,13.253933160171632,25.155455133251703,46.06863851302073
82,6.040313593443108,7.392260910005498,16.13867844039775,34.52404084806832
