Train_Size,RMSE_UP,RMSE_AVG,RMSE_median,RMSE_OP
28,25.46192867904146,40.825212962875504,50.27982353449802,52.90198733684527
30,34.34165162816432,49.77353228151642,62.42855970439838,42.29995241248513
31,27.028384734605662,40.69267110948201,52.0245660151299,47.014178555847785
35,13.503877071439938,28.128997757375505,33.87835572128542,53.9239514417994
39,30.707776676298465,35.183204680137734,46.2774132906107,57.151779662880585
44,37.42797987101505,49.28560240785704,57.07364859663017,48.175520561495105
46,13.098609088697037,20.81765663050842,29.89248386649277,40.56934861777721
57,17.801350056730563,17.247222965128447,23.690810489994792,28.183497042604504
65,17.02520664047887,24.775084354868525,32.80685179067279,37.346682919971926
66,11.628548428235481,32.094399268581014,35.270847505989515,59.919972952727356
74,9.781570211466207,11.936311723200097,14.557413490561952,43.21988746095471
81,12.842242463141266,20.325815565846668,27.533449446975233,46.88198367977538
83,8.295036411673257,1.93901252578889,14.919833897899018,31.337592488533563
